Transaction Date, State ,SKU,Sales($),COGS,Qty
2016-07-30,California,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93,117.5608,7
2016-07-30,California,Regeneration Desk Collection,5.28,2.9568000000000003,3
2016-07-30,California,Presstex Flexible Ring Binders,10.92,6.825,3
2016-07-03,Kentucky,Novimex High-Tech Fabric Mesh Task Chair,70.98,66.01140000000001,1
2016-07-03,Kentucky,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",294.93,150.4143,3
2016-07-26,Arizona,Bevis Boat-Shaped Conference Table,393.165,597.6108,3
2016-07-31,New York,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65,1547.4655000000002,7
2016-07-31,New York,"Bevis Round Bullnose 29"" High Table Top",1090.782,1381.6571999999999,7
2016-07-31,New York,Xerox 212,19.44,10.1088,3
2016-07-06,New York,G.E. Halogen Desk Lamp Bulbs,13.96,7.259200000000001,2
2016-07-06,New York,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",155.82,91.93379999999999,3
2016-07-06,New York,OtterBox Commuter Series Case - Samsung Galaxy S4,124.95,122.45100000000001,5
2016-07-06,New York,Iceberg Mobile Mega Data/Printer Cart,601.65,445.221,5
2016-07-03,Pennsylvania,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,168.464,197.9452,2
2016-07-03,Pennsylvania,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",6.72,4.284,2
2016-07-03,Pennsylvania,"Howard Miller 12"" Round Wall Clock",282.888,226.3104,9
2016-07-25,Pennsylvania,GBC Premium Transparent Covers with Diagonal Lined Pattern,25.176,43.6384,4
2016-07-04,Wisconsin,Mitel MiVoice 5330e IP Phone,1099.96,813.9704,4
2016-07-04,New York,Colorific Watercolor Pencils,15.48,10.9908,3
2016-07-19,Arizona,Wilson Jones DublLock D-Ring Binders,2.025,3.375,1
2016-07-13,New York,GBC Plastic Binding Combs,11.808,7.5276,2
2016-07-13,New York,Safco Contoured Stacking Chairs,1931.04,1609.2,9
2016-07-13,New York,Easy-staple paper,9.96,5.278800000000001,2
2016-07-13,Texas,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,41.568,108.07679999999999,6
2016-07-09,Massachusetts,Tops Wirebound Message Log Books,6.58,3.5532,2
2016-07-09,Massachusetts,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",122.94,63.928799999999995,3
2016-07-13,Georgia,Xerox 1931,38.88,20.2176,6
2016-07-20,Indiana,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",34.76,25.0272,1
2016-07-20,Indiana,Imation Bio 8GB USB Flash Drive Imation Corp,831.2,706.52,5
2016-07-20,Indiana,Xerox 1981,26.4,14.519999999999998,5
2016-07-20,Indiana,"White Envelopes, White Envelopes with Clear Poly Window",106.75,57.645,7
2016-07-20,Indiana,Tops White Computer Printout Paper,97.82,51.84459999999999,2
2016-07-20,Indiana,Eldon Portable Mobile Manager,141.4,103.22200000000001,5
2016-07-11,Pennsylvania,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",289.8,253.57500000000002,7
2016-07-11,Pennsylvania,Acco Suede Grain Vinyl Round Ring Binder,2.502,4.5036,3
2016-07-11,Pennsylvania,3M Organizer Strips,6.48,11.232,4
2016-07-11,Pennsylvania,Novimex Fabric Task Chair,341.488,414.664,8
2016-07-11,Pennsylvania,Newell 333,11.12,10.286,5
2016-07-11,Pennsylvania,"Master Big Foot Doorstop, Beige",25.344,21.8592,6
2016-07-30,Texas,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,61.792,55.6128,4
2016-07-06,Massachusetts,Bush Mission Pointe Library,301.96,241.56799999999998,2
2016-07-11,Washington,Xerox 1896,29.97,16.4835,3
2016-07-11,Washington,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",98.352,63.9288,3
2016-07-02,Texas,Belkin 8 Outlet Surge Protector,32.784,118.0224,4
2016-07-16,California,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,1348.704,1567.8683999999998,6
2016-07-16,California,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,700.152,621.3849,3
2016-07-05,North Carolina,Stackable Trays,4.928,4.1888,2
2016-07-05,North Carolina,Wilson Jones Turn Tabs Binder Tool for Ring Binders,7.23,13.014,5
2016-07-17,California,"Sauder Camden County Collection Libraries, Planked Cherry Finish",195.466,209.2636,2
2016-07-25,Washington,Plymouth Boxed Rubber Bands by Plymouth,9.42,8.949,2
2016-07-25,Washington,Xerox 228,12.96,6.739200000000001,2
2016-07-25,Washington,"Sauder Forest Hills Library, Woodland Oak Finish",704.9,648.5079999999999,5
2016-07-25,Washington,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,561.568,533.4896,2
2016-07-05,Michigan,Durable Pressboard Binders,19.0,10.07,5
2016-07-10,Arizona,Accohide Poly Flexible Ring Binders,3.366,5.61,3
2016-07-23,New York,Belkin F5C206VTEL 6 Outlet Surge,68.94,48.257999999999996,3
2016-07-23,New York,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",128.82,78.58019999999999,3
2016-07-09,Tennessee,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",5.16,4.3215,3
2016-07-02,Illinois,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,408.422,414.25660000000005,2
2016-07-02,Illinois,"Global Wood Trimmed Manager's Task Chair, Khaki",382.116,474.9156,6
2016-07-02,Illinois,Advantus Rolling Storage Box,68.6,62.5975,5
2016-07-02,Illinois,Adjustable Depth Letter/Legal Cart,435.504,386.50980000000004,3
2016-07-02,Illinois,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",11.168,7.3988,2
2016-07-09,Maryland,Advantus Map Pennant Flags and Round Head Tacks,15.8,10.744,4
2016-07-09,Maryland,Fellowes Powershred HS-440 4-Sheet High Security Shredder,464.97,255.73350000000002,3
2016-07-09,Maryland,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,181.96,161.9444,2
2016-07-09,Maryland,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",12.39,6.690600000000001,3
